Question,option1,option2,option3,option4,answer
What is the difference between direct tax and indirect tax?,"Direct tax is paid by individuals, indirect by companies","Direct tax is levied on income/wealth and paid directly by the person, while indirect tax is on goods/services and passed on to the consumer","Direct tax is central, indirect tax is state-level","Direct tax is optional, indirect tax is mandatory","Direct tax is levied on income/wealth and paid directly by the person, while indirect tax is on goods/services and passed on to the consumer"
The 'Upanishads' are philosophical texts that are also known as what?,Samhitas,Brahmanas,Aranyakas,Vedanta,Vedanta
The conversion of a solid directly into a gas is known as?,Evaporation,Condensation,Sublimation,Deposition,Sublimation
Which of these is a major ethical concern related to human cloning?,It is too expensive,It could devalue human life and individuality,It is not technologically possible,It requires too much energy,It could devalue human life and individuality
The slogan 'Jai Jawan Jai Kisan' was given by which Prime Minister of India?,Jawaharlal Nehru,Indira Gandhi,Lal Bahadur Shastri,Atal Bihari Vajpayee,Lal Bahadur Shastri
What does 'URL' stand for in the context of the internet?,Uniform Resource Locator,Universal Reference Link,Uniform Record Locator,Unique Resource Link,Uniform Resource Locator
What is the 'repo rate' used by the RBI to control?,Stock market prices,Gold prices,Inflation and money supply,Foreign exchange rates,Inflation and money supply
The concept of 'Samsara' in Indian philosophies refers to what?,The state of liberation,The cycle of death and rebirth,The path of righteousness,A state of eternal bliss,The cycle of death and rebirth
Which of the following is a greenhouse gas?,Oxygen,Nitrogen,Argon,Carbon Dioxide,Carbon Dioxide
What is the main purpose of the Human Genome Project?,To identify and map all of the genes of the human genome,To create a genetically superior human,To find a cure for all diseases,To patent human genes,To identify and map all of the genes of the human genome
Who founded the newspaper 'The Mahratta' (in English) and 'Kesari' (in Marathi)?,Gopal Krishna Gokhale,Mahatma Gandhi,Bal Gangadhar Tilak,Madan Mohan Malaviya,Bal Gangadhar Tilak
What is a 'QR Code'?,A type of credit card,A machine-readable optical label containing information about the item to which it is attached,A secure password,A type of digital currency,A machine-readable optical label containing information about the item to which it is attached
"What is the full form of FSSAI, the food safety regulator in India?",Food Safety and Standards Authority of India,Food Security and Services Administration of India,Food Standards and Safety Agency of India,Food and Staples Security Authority of India,Food Safety and Standards Authority of India
The 'Panchatantra' tales were originally written by whom?,Kalidasa,Vishnu Sharma,Tulsidas,Valmiki,Vishnu Sharma
What causes the blue color of the sky?,The scattering of sunlight by air molecules,The presence of water vapor,The absorption of other colors by the atmosphere,The reflection of the ocean,The scattering of sunlight by air molecules
What is an 'enzyme'?,A type of carbohydrate,A biological catalyst that speeds up chemical reactions,A fat molecule,A component of DNA,A biological catalyst that speeds up chemical reactions
The 'Rowlatt Act' passed by the British in 1919 was controversial because it allowed what?,Increased taxes on farmers,Detention of political prisoners without trial,Partition of Bengal,Separate electorates for Muslims,Detention of political prisoners without trial
Which Indian state was the first to launch a policy focused on the 'Metaverse'?,Karnataka,Maharashtra,Telangana,Tamil Nadu,Telangana
"In the Indian budget, what is 'disinvestment'?",The act of a government selling its assets or a stake in a public sector undertaking,Investing in foreign companies,Reducing taxes to boost investment,Increasing government spending,The act of a government selling its assets or a stake in a public sector undertaking
The 'Laws of Manu' or 'Manusmriti' is a foundational text for which school of Hindu law?,Nyaya,Vaisheshika,Dharmaśāstra,Samkhya,Dharmaśāstra
What is the chemical symbol for gold?,Ag,Au,Gd,Go,Au
The 'fingerprints' used in crime investigations are based on the unique patterns of what?,DNA sequences,Dermal ridges,Iris patterns,Voice modulation,Dermal ridges
Who was the first Indian Governor-General of independent India?,Lord Mountbatten,Dr. Rajendra Prasad,C. Rajagopalachari,Jawaharlal Nehru,C. Rajagopalachari
The 'Internet of Things' (IoT) refers to what?,A network of interconnected physical devices embedded with sensors and software,A new version of the World Wide Web,A government project for rural internet,A type of social media platform,A network of interconnected physical devices embedded with sensors and software
What is the purpose of a 'reverse repo rate'?,The rate at which RBI lends to banks,The rate at which banks park their surplus funds with the RBI,The lending rate for corporations,The interest rate on savings accounts,The rate at which banks park their surplus funds with the RBI
The concept of the four 'Ashramas' (stages of life) is a part of which tradition?,Buddhist tradition,Jain tradition,Sikh tradition,Hindu tradition,Hindu tradition
Which gas is most abundant in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,Nitrogen
"What is the name of the first test-tube baby, born in 1978?",Dolly,Kanupriya Agarwal,Louise Brown,Durga,Louise Brown
The 'Azad Hind Fauj' (Indian National Army) was revived by whom?,Rash Behari Bose,Subhas Chandra Bose,Captain Mohan Singh,Mahatma Gandhi,Subhas Chandra Bose
Which of the following is a cloud computing platform by Amazon?,Azure,Google Cloud,Amazon Web Services (AWS),Oracle Cloud,Amazon Web Services (AWS)
"Which committee in India recommended major reforms in the tax structure, leading to the Chelliah Committee report?",Raja Chelliah Committee,Y.V. Reddy Committee,Narasimham Committee,Kelkar Committee,Raja Chelliah Committee
The Bhagavad Gita is a part of which larger Indian epic?,Ramayana,Mahabharata,Puranas,Upanishads,Mahabharata
The phenomenon of radioactivity was discovered by whom?,Marie Curie,Pierre Curie,Henri Becquerel,Wilhelm Röntgen,Henri Becquerel
"What is 'Pasteurization', a process widely used in the dairy industry?",The process of making cheese,Heating a liquid to a specific temperature to kill pathogens,The process of separating cream from milk,The homogenization of milk,Heating a liquid to a specific temperature to kill pathogens
The 'Home Rule League' movement in India was started by Annie Besant and who else?,Mahatma Gandhi,Jawaharlal Nehru,Bal Gangadhar Tilak,Sardar Patel,Bal Gangadhar Tilak
What is an 'Algorithm' in computer science?,A computer chip,A piece of hardware,A set of rules or instructions to be followed in calculations or other problem-solving operations,A programming language,A set of rules or instructions to be followed in calculations or other problem-solving operations
The term 'Blue Chip' stocks refers to shares of which type of companies?,New and upcoming companies,Companies with high debt,"Well-established, financially sound, and reputable companies",Government-owned companies,"Well-established, financially sound, and reputable companies"
The philosophical concept 'Brahman' in Hinduism refers to what?,The individual soul,The creator god,"The ultimate, unchanging reality of the universe",The priestly class,"The ultimate, unchanging reality of the universe"
Which of the following is an alkali metal?,Calcium,Magnesium,Sodium,Aluminum,Sodium
The sequencing of the rice genome was a significant achievement in which field?,Nanotechnology,Plant Genomics,Zoology,Marine Biology,Plant Genomics
Who founded the 'Servants of India Society' in 1905?,Bal Gangadhar Tilak,Lala Lajpat Rai,Gopal Krishna Gokhale,Dadabhai Naoroji,Gopal Krishna Gokhale
Which of these is a programming language developed by Google?,Swift,Kotlin,Go,Rust,Go
What is the 'Current Account Deficit' (CAD)?,A measurement of a country's trade where the value of the goods and services it imports exceeds the value of the products it exports,The government's budget deficit,The total amount of bad loans in the banking system,The deficit in the capital account,A measurement of a country's trade where the value of the goods and services it imports exceeds the value of the products it exports
"The 'Sutta Pitaka', a major Buddhist scripture, primarily contains what?",Rules for monastic life,Philosophical discourses,The teachings and discourses of the Buddha,Stories of the Buddha's past lives,The teachings and discourses of the Buddha
Brass is an alloy of copper and which other metal?,Tin,Zinc,Nickel,Aluminum,Zinc
What is the primary function of insulin in the human body?,To regulate blood sugar levels,To aid in digestion of fats,To carry oxygen in the blood,To help in blood clotting,To regulate blood sugar levels
The 'Kakori Conspiracy' of 1925 was a train robbery organized by which revolutionary organization?,Ghadar Party,Anushilan Samiti,Hindustan Republican Association (HRA),Jugantar,Hindustan Republican Association (HRA)
What is 'Machine Learning'?,The process of building computers,A field of artificial intelligence that uses statistical techniques to give computer systems the ability to 'learn' from data,A new type of operating system,The manual input of data into a computer,A field of artificial intelligence that uses statistical techniques to give computer systems the ability to 'learn' from data
Who can levy income tax in India?,Only the State Governments,Only the Central Government,Both Central and State Governments,Local Municipal Bodies,Only the Central Government
"The 'Triratna' or Three Jewels of Jainism are Right Faith, Right Knowledge, and what?",Right Action,Right Conduct,Right Speech,Right Meditation,Right Conduct
Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
What is 'Xenotransplantation'?,Transplanting organs between identical twins,"The transplantation of living cells, tissues or organs from one species to another",Cloning an organ for transplantation,Using artificial organs for transplantation,"The transplantation of living cells,tissues or organs from one species to another"
The 'Indian Rebellion of 1857' started from which city?,Delhi,Kanpur,Lucknow,Meerut,Meerut
What is the purpose of the 'Digi Yatra' initiative at Indian airports?,To provide free Wi-Fi,To offer discounts on flights,"To enable biometric-based, paperless travel",To manage cargo services,"To enable biometric-based, paperless travel"
What does 'NEFT' stand for in the Indian banking system?,National Electronic Funds Transfer,New Electronic Funds Transaction,National Efficient Fund Transfer,Network Electronic Fund Transfer,National Electronic Funds Transfer
